source,target
"rimouski | climate , economy , municipal council , history",What do you want to know about the place?
"cdmd | center for duchenne muscular dystrophy , configuration data managers database","Which ""cdmd"" do you mean?"
"dark magic | types of dark magic , dark magic history",What would you like to know about dark magic?
"map sharepoint to network drive | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"ibcd | institute for biblical counseling and discipleship , indian boundary conservancy district","Which ""ibcd"" do you mean?"
"tascc | trade assurance scheme for combinable crops , teacher assessment of student communicative competence","Which ""tascc"" do you mean?"
"oppp | origo partners plc pfd , office of the physical plant penn , overly protective parent pony","Which ""oppp"" do you mean?"
"jefferson county clerk | map , population , history",What would you like to know about this place?
"tbis | titanium blockchain infrastructure services , trade board information system , traumatic brain injury statistics","Which ""tbis"" do you mean?"
"poke burrito | most popular , poke my way , signatures",What do you want to know about this restaurant?
"microsoft visual c++ download | x32 , x64 , x86",What architecture are you looking for?
"hhsc | health and human services commission , health home serving children","Which ""hhsc"" do you mean?"
"acoustic covers | classic rock , hard rock",What genre are you looking for?
"st martinville louisiana | attractions , economy , education",What do you want to know about the city?
"drap | defeating rogue access points , dairy regional assistance programme","Which ""drap"" do you mean?"
"meniscal tear | diagnosis , treatment , diet , diagnosis , diet",What do you want to know about this medical condition?
"hphp | homeless persons health project , healthy parks healthy people , happy people helping people","Which ""hphp"" do you mean?"
"ojp | office of justice programs , open jedi project","Which ""ojp"" do you mean?"
"by the way bakery | small treats , cupcakes , specialty desserts , layer cakes , tea cakes",What do you want to know about this restaurant?
"creatinine high | causes , treatment",What do you want to know about this condition?
"freiberg's infraction | cause , diagnosis , symptoms , treatment",What do you want to know about this condition?
"tango app | use tango app , uninstall tango app",What do you want to do with tango app?
"colfax washington | homes for sale , zip code , population , news",What would you like to know about this city?
"sheebah karungi | life , filmography , awards",What do you want to know about this person?
"how to insert a word document into word | word 2010 , word 2013 , word 2016",What version of Word are you looking for?
"austal | austal jobs , austal news , austal logo",What would you like to know about austal?
"gsgs | global strategies global solutions , graduate student grant service","Which ""gsgs"" do you mean?"
"is my pc 32 or 64-bit | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"am i my brother's keeper | kjv , niv",What Bible translation are you looking for?
"cmvc | configuration management version control , commercial motor vehicle consulting","Which ""cmvc"" do you mean?"
"irh | institute for reproductive health , international riding helmets , institute for research in the humanities","Which ""irh"" do you mean?"
"swri | sealant waterproofing and restoration institute , southwest research institute","Which ""swri"" do you mean?"
"irha | interior regional housing authority , intermountain reining horse association , international rainwater harvesting alliance","Which ""irha"" do you mean?"
"pria | property records industry association , pilot records improvement act , participatory research in asia","Which ""pria"" do you mean?"
"smithfield utah | zip code , homes for sale , population",What would you like to know about this city?
"kansas city municipal court | clerk , prosecutor",What office are you looking for?
"it's raining tacos | chords , lyrics , ukulele",What song information are you looking for?
"gildess | interactions , overdose , precautions , side effects , uses",What do you want to know about this medication?
"african clothing | women , men",Who are you shopping for?
"eepi | extraretinal eye position information , epi exocrine pancreatic insufficiency","Which ""eepi"" do you mean?"
"print screen on windows | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"bhsi | behavioral health special initiative , biomedical and health sciences institute","Which ""bhsi"" do you mean?"
"wotc | work opportunity tax credit , wizards of the coast , way of the cross","Which ""wotc"" do you mean?"
"office 365 offline installer | download , update",What are you trying to do?
"lrf | lymphoma research foundation , low resolution fitty , local resilience forum","Which ""lrf"" do you mean?"
"pohf | piece of history firearms , promises of hope foundation","Which ""pohf"" do you mean?"
"gep | genomics education partnership , general education program , gifted education programme","Which ""gep"" do you mean?"
"microtech knives | microtech knives sale , microtech knives reviews , microtech knives logo",What would you like to know about microtech knives?
"rgl | regulatory and guidance library , runway guard light , reading grade level","Which ""rgl"" do you mean?"
"cpen | certified pediatric emergency nurse , centre point entertainment network","Which ""cpen"" do you mean?"
"fake caller id | android , iphone",What device are you looking for?
"gonococcal arthritis | differential diagnosis , differential diagnosis , medication , overview , presentation",What do you want to know about this condition?
"desert rain frog | for sale , desert rain frog facts , desert rain frog care",What would you like to know about desert rain frog?
"henry county va | map , history , population",What would you like to know about henry county va?
"aof | arenson office furnishings , avon old farms","Which ""aof"" do you mean?"
"ytw | yield to worst , yu the world","Which ""ytw"" do you mean?"
"converse county wyoming | converse county wyoming gis , converse county wyoming map , converse county wyoming news",What would you like to know about converse county wyoming?
"cnbt | city national bank of taylor , ceta national board of testing , clinical neuroimmunology and brain tumors","Which ""cnbt"" do you mean?"
"kgp | karat gold plated , kontrola geometrických plánov","Which ""kgp"" do you mean?"
"fpe | federal pacific electric , format-preserving encryption","Which ""fpe"" do you mean?"
"tribhuvan university | tribhuvan university courses , tribhuvan university result , tribhuvan university logo",What would you like to know about this university?
"ncbs | national centre for biological sciences , nature coast biological station","Which ""ncbs"" do you mean?"
"wcgt | weekly challenge golf tour , workshop on control and game theory , world council for gifted and talented","Which ""wcgt"" do you mean?"
"nasal crusting | causes , treatment",What do you want to know about this condition?
"namma metro | namma metro phase 3 , namma metro phase 1",What phase are you looking for?
"disney infinity | characters , xbox one , wii , disney infinity videos",What would you like to know about this game?
"crce | continuing respiratory care education , campus recreation center east , career resource center for expats","Which ""crce"" do you mean?"
"active directory domain | create active directory domain , rename active directory domain",What do you want to do with active directory domain?
"msats | market settlement and transfer solutions , mine safety and training section , master splinter and the shredders","Which ""msats"" do you mean?"
"nrwa | national rural water association , nations relief and works agency","Which ""nrwa"" do you mean?"
"duffy's tavern | characters and story , film and television , influence , listen to",What do you want to know about the film?
"like mike | like mike cast , like mike trailer , like mike dvd",What would you like to know about this movie?
"gith | global institute of trourism and hopitality , good in the hood","Which ""gith"" do you mean?"
"irgp | internal research grant program , inside racing grand prix","Which ""irgp"" do you mean?"
"the lord's prayer printable | kjv , esv",What Bible translation are you looking for?
"nspi | name service provider interface , national spa and pool institute","Which ""nspi"" do you mean?"
"67 firebird for sale | craigslist , 67 firebird for sale ebay",What marketplace are you looking for?
"aeoa | arrowhead economic opportunity agency , aortic effective orifice area","Which ""aeoa"" do you mean?"
"lho | london health observatory , lasalle hotel , left hand opponent","Which ""lho"" do you mean?"
"what does wyd stand for | world youth day , with your destiny , what you doing","Which ""wyd"" do you mean?"
"nccl | national conference for catechetical leadership , nvidia collective communications library , national council for civil liberties","Which ""nccl"" do you mean?"
"vml | vector markup language , view my loan , visual modeling language","Which ""vml"" do you mean?"
"naval station rota spain | opposition , history",What do you want to know about the airport?
"sage memorial hospital | specialty , pediatrics , provider",What do you want to know about sage memorial hospital?
"sibutramine | sibutramine hydrochloride , sibutramine reviews , sibutramine dosage , interactions for sibutramine",What would you like to know about sibutramine?
"cld | center for leadership development , centre local de","Which ""cld"" do you mean?"
"tarasoff case | ethics , law , psychology",What field are you looking for?
"franktown colorado | homes for sale , population , weather , zip code",What would you like to know about this city?
"cincinnati art museum | wedding , hotels , events",What would you like to know about this place?
"upss | united postal stationery society , underground petroleum storage system","Which ""upss"" do you mean?"
"wev | warranted equity value , weightlifting encyclopedia video","Which ""wev"" do you mean?"
"supergirl film | plot , production , release , soundtrack",What do you want to know about the film?
"gedcom file | how to open a gedcom file , create a gedcom file",What do you want to do with a gedcom file?
"hwl | healthcare workforce logistics , hutchison whampoa limited , hockey world league","Which ""hwl"" do you mean?"
"org charts in powerpoint | powerpoint 2013 , powerpoint 2010",What version of PowerPoint are you looking for?
"diverticular abscess | diverticular abscess icd 10 , diverticular abscess icd 9",What classification system would you like to use?
"pgfa | pakistan game fish association , panhandle grain and feed association , professional golf fitness association","Which ""pgfa"" do you mean?"
"nfff | national fallen firefighters , national federation of fish friers","Which ""nfff"" do you mean?"
"above & beyond | tour , lyrics , albums",What would you like to know about this band?
"swec | southwest electric cooperative , southwest environmental center , standardised work and equipment categories","Which ""swec"" do you mean?"
"clinton county illinois | news , history , population",What would you like to know about clinton county illinois?
"inprivate browsing | how to turn on inprivate browsing , how to disable inprivate browsing",What do you want to do with inprivate browsing?
"tdfs | typed default feature structure , thermal dispersion flow switch , terrain data fusion system","Which ""tdfs"" do you mean?"
"how to build a horseshoe pit | tools , measure for the pitching platform , build the backboard , make the stakes",What do you want to know more about?
"qag | quality assurance group , queensland art gallery , qvale auto group","Which ""qag"" do you mean?"
"redi clinic | specialty , child adolescent psychiatry , social work , provider",What do you want to know about redi clinic?
"change computer sign in password | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"concordia college new york | concordia college new york tuition , concordia college new york nursing , concordia college new york jobs",What would you like to know about this university?
"nintendo network id | find nintendo network id , delete nintendo network id",What do you want to do with nintendo network id?
"ff rankings | rb , wr",What position are you looking for?
"netc | naval education and training command , national emergency training center , network enterprise technology command","Which ""netc"" do you mean?"
"import car parts | shops photo , local map , services , business information",What do you want to know about this business?
"bmw x3 m | exterior , interior , drivetrain , prices , bmw x3 m competition",What do you want to know about this vehicle?
"adelaide aquatic centre | facilities , fees , state of maintenance",What do you want to know about the sports venue?
"hgds | hub group distribution service , hospital grade disinfectant spray , hazardous gas detection system","Which ""hgds"" do you mean?"
"keyboard is locked and i can't type | dell , hp",What brand of PC are you looking for?
"mhist | military history instruction support team , mental health independent support team , mental health intervention skills training","Which ""mhist"" do you mean?"
"phec | pacific health education center , public health employment connection , panasonic home environment company","Which ""phec"" do you mean?"
"smts | sing me to sleep , specialist medical and therapy solutions , scale model technical services","Which ""smts"" do you mean?"
"baseball digest | baseball digest pitcher of the year , baseball digest player of the year , history",What do you want to know about the magazine?
"pizzeria paradiso | beverages , pizza , salad , dessert",What do you want to know about this restaurant?
"usli | united states liability insurance , undergraduate student learning initiative","Which ""usli"" do you mean?"
"kindle windows | kindle windows 10 , kindle windows 8 , kindle windows 7 , vista",What version of Windows are you looking for?
"mount mercy university | mount mercy university tuition , mount mercy university jobs , mount mercy university bookstore",What would you like to know about this university?
"xirr | use xirr , calculate xirr",What do you want to do with xirr?
"gender dysmorphia | causes , treatment",What do you want to know about this condition?
"camerota | gallery , geography , history",What do you want to know about the city?
"welland canal | welland canal map , welland canal tours , welland canal history",What would you like to know about this place?
"wdrt | windows device recovery tool , whole disk recovery token , wec design response toolbox","Which ""wdrt"" do you mean?"
"prolapsed cervix | causes , treatment",What do you want to know about this condition?
"twmp | track width mine plough , top web marketing platforms , trade waste management plan","Which ""twmp"" do you mean?"
"ihp | institute of health professions , integrated health plan , internet home page","Which ""ihp"" do you mean?"
"linux vs windows | linux vs windows 10 , linux vs windows 8 , linux vs windows 7 , windows vista , windows 8",What version of Windows are you looking for?
"manage accounts | manage accounts windows 10 , manage accounts windows 7 , manage accounts windows 8",What version of Windows are you looking for?
"aliceville alabama | zip code , population , homes for sale , weather",What would you like to know about this city?
"colts defense | roster , stats",What team information are you looking for?
"bowers & wilkins | products , technology, research and development , history",What do you want to know about the company?
"potter's wheel | techniques of throwing , the potter's wheel in myth and legend , history",What do you want to know about potter's wheel?
"characteristics of life | pdf , ppt",Which document format are you looking for?
"optic neuritis | treatment , treatment , causes , diagnosis , diet",What do you want to know about this medical condition?
"nappanee | zip code , weather , what time is it , population",What would you like to know about nappanee?
"f#HASH# major scale | guitar , piano",What instrument are you looking for?
"mooresville graded school district | calendar , employment , maps",What would you like to know about mooresville graded school district?
"colorado county texas | colorado county texas map , colorado county texas population , colorado county texas news",What would you like to know about this place?
"supd | statin use in persons with diabetes , side underride protection device","Which ""supd"" do you mean?"
"state of louisiana | time , abbreviation , population , things to do",What would you like to know about state of louisiana?
"stls | southern tier library system , students in temporary living situations , specialist teaching and learning services","Which ""stls"" do you mean?"
"how to split cell in excel | excel 2016 , excel 2010 , excel 2013 , excel 2007",What version of Excel are you looking for?
"sandy oregon | weather , weather , population , news , news",What would you like to know about this city?
"drit | direct rapid immunohistochemical test , diploma in radiology and imaging technology","Which ""drit"" do you mean?"
"fcnn | fast compressed neural networks , fully connected neural network","Which ""fcnn"" do you mean?"
"keithley instruments | general , historical highlights , products",What do you want to know about the company?
"hrba | human rights-based approach , historic religious buildings alliance , human resources benchmarking association","Which ""hrba"" do you mean?"
"mosl | measures of student learning , market operator services limited , military occupational specialty level","Which ""mosl"" do you mean?"
"quad muscle | build quad muscle , massage quad muscle",What do you want to do with quad muscle?
"the back center | specialty , internal medicine , provider",What do you want to know about the back center?
"makeuseof windows | makeuseof windows 10 , windows 8 , makeuseof windows 7 , windows vista , windows xp",What version of Windows are you looking for?
"brown marmorated stink bug | facts , eggs , eggs , pictures , scientific name",What would you like to know about brown marmorated stink bug?
"wlr | we love russia , weight loss resources , wholesale line rental","Which ""wlr"" do you mean?"
"yamaha mt 07 | design , chassis , drivetrain , competitors",What do you want to know about this vehicle?
"fcai | federal chamber of automotive industries , finnish center for artificial intelligence","Which ""fcai"" do you mean?"
"plano west football | roster , stats",What team information are you looking for?
"es file explorer file manager | es file explorer file manager android , windows",What operating system are you looking for?
"austin indiana | zip code , population , what time is it",What would you like to know about this city?
"bmir | burning man information radio , below market interest rate , believe in miracles inspiration ring","Which ""bmir"" do you mean?"
"rtts | road to the show , run to the sun , research training tracking system","Which ""rtts"" do you mean?"
"mercedes 300d for sale | craigslist , ebay",What marketplace are you looking for?
"lsl | linden scripting language , locomotive speed limiter , lesotho loti","Which ""lsl"" do you mean?"
"mopt | manual orthopedic physical therapy , ministry of public telecommunications","Which ""mopt"" do you mean?"
"jenkins hyundai | services , business information , shops photo , local map",What do you want to know about this business?
"pcit | parent child interaction therapy , phytosanitary certificate issuance and tracking , problems of control and information theory","Which ""pcit"" do you mean?"
"roma tile | marble , quartz",What material are you looking for?
"heritage medical | provider , specialty , family medicine",What do you want to know about heritage medical?
"csae | centre for the study of african economies , computer science and application engineering","Which ""csae"" do you mean?"
"hemorrhagic gastroenteritis | cause , treatment , clinical signs , diagnosis",What do you want to know about the disease?
"rhode island medical imaging | our location , providence office , insurance , office providers",What do you want to know about rhode island medical imaging?
"sitzmarks | interactions , overdose , precautions , side effects , uses",What do you want to know about this medication?
"atq | addicted to quality , aakash talent quest , answer the question","Which ""atq"" do you mean?"
"king & country | cd , dvd",What format are you looking for?
"qpf | quantitative precipitation forecasts , qt prerendered font , quote preparation fee","Which ""qpf"" do you mean?"
"cinderfella | plot , production , release",What do you want to know about the film?
"habakkuk 2:2-3 | esv , kjv , niv , nlt",What Bible translation are you looking for?
"postal worker | postal worker salary , postal worker job outlook , postal worker jobs , postal worker job description",What would you like to know about this occupation?
"office professional | download , install , update",What are you trying to do?
"felician college | felician college tuition , felician college athletics , felician college nursing",What would you like to know about this university?
"wsdc | world swing dance council , world schools debating championships , western state deaf campers","Which ""wsdc"" do you mean?"
"southway ford | shops photo , local map , services , business information",What do you want to know about this business?
"aasa | automotive aftermarket suppliers association , association of academic surgical administrators","Which ""aasa"" do you mean?"
"losing isaiah | summary , losing isaiah cast , losing isaiah quotes , losing isaiah soundtrack",What would you like to know about this movie?
"carbamazepine level | background , interpretation , reference range",What do you want to know about this condition?
"srla | sport and recreation law association , scientific research literacy association , sound recording labor agreement","Which ""srla"" do you mean?"
"zindagi na milegi dobara | cast , quotes , trailer",What would you like to know about this movie?
"potato corner | fries combos , chicken combos , fries combos , baked potatoes , style",What do you want to know about this restaurant?
"iri | international research institute , industrial risk insurers","Which ""iri"" do you mean?"
"gress | education , geography , nature , history",What do you want to know about the village?
"sbag | small bodies assessment group , smiley bantam activity group","Which ""sbag"" do you mean?"
"ooth | out of their hands , order of the hammer , orchestra on the hill","Which ""ooth"" do you mean?"
"avcg | advanced veterinary care group , anthill village community garden","Which ""avcg"" do you mean?"
"franciscan friars of the renewal | apostolate , foundation , official papal recognition",What do you want to know about the organization?
"iepf | investor education and protection fund , international elvis presley fever , indonesian education promoting foundation","Which ""iepf"" do you mean?"
"portugal. the man | albums , members , singer , albums , tour",What would you like to know about this band?
"osj | office of supervisory jurisdiction , offshore support journal , ocean science journal","Which ""osj"" do you mean?"
"eyg | elevate your game , elca youth gathering , embrace your geekness","Which ""eyg"" do you mean?"
"kwe | kintetsu world express , kids wrestling entertainment , kcura win edds","Which ""kwe"" do you mean?"
"hamilton health center | internal medicine , pediatrics , podiatry",What kind of doctor are you looking for?
"sleep institute | office providers , insurance , our location",What do you want to know about sleep institute?
"pwds | parison wall distribution system , premier website design services","Which ""pwds"" do you mean?"
"spotydl for windows | spotydl for windows 10 , spotydl for windows 8 , spotydl for windows 7 , windows vista",What version of Windows are you looking for?
"cctn | center for clinical trials network , certified clinical transplant nurse","Which ""cctn"" do you mean?"
"wob | world of beer , work of breathing , waste of bandwidth","Which ""wob"" do you mean?"
"pushbullet windows | 10 , 8 , 7 , windows vista",What version of Windows are you looking for?
"ifcc | international federation of clinical chemistry , indonesian forestry certification cooperation","Which ""ifcc"" do you mean?"
"aatt | aerospace auditor transition training , advanced air transportation technologies","Which ""aatt"" do you mean?"
"pmaa | petroleum marketers association of america , partially methylated alditol acetate , professional martial arts academy","Which ""pmaa"" do you mean?"
"fpd | farrier product distribution , flat panel display","Which ""fpd"" do you mean?"
"turner fenton secondary school | notable alumni , sports, clubs, and traditions , history",What do you want to know about the school?
"mcpherson college | mcpherson college football , mcpherson college tuition , mcpherson college library",What would you like to know about this university?
"ottp | occupational therapy training program , olsen's toy train parts , overseas trained teacher programme","Which ""ottp"" do you mean?"
"mungo park | early life , second journey , works , legacy",What do you want to know about this person?
"prda | polish racing drivers of america , personnel records display application , pacific riding for developing abilities","Which ""prda"" do you mean?"
"105.1 fm | belarus , australia , costa rica , mexico",What do you want to know about the radio station?
"otj | on the job , official travelers journal , office of tribal justice","Which ""otj"" do you mean?"
"western motors | shops photo , local map , services",What do you want to know about this business?
"g market | profit , public offering , history",What do you want to know about the company?
"kashi waffles | calories , ingredients",What food information are you looking for?
"l'aquila | climate , culture , frazioni , geography",What do you want to know about the city?
"harris jewelry | payment , returns",What form are you looking for?
"nfd | national first division , networking forwarding daemon , no floppy drive","Which ""nfd"" do you mean?"
"gafs | general accounting and finance system , global assessment of functioning scale","Which ""gafs"" do you mean?"
"how to prevent mildew on vinyl siding | understanding mildew , remove dirt from your siding , check your ventilation ducts , remove mildew quickly",What do you want to know more about?
"breckenridge texas | zip code , homes for sale breckenridge texas , population",What would you like to know about this city?
"all-4-one | all-4-one tour , all-4-one members , all-4-one songs , all-4-one tour , all-4-one music videos",What would you like to know about all-4-one?
"apil | australasian property investments limited , association of personal injury lawyers , association for public interest law","Which ""apil"" do you mean?"
"star fleet battles | game system , star fleet universe , history",What do you want to know about the game?
"ewrp | emergency wetlands reserve program , extra war risk premium","Which ""ewrp"" do you mean?"
"100.1 fm | australia , belize , mexico , taiwan",What do you want to know about the radio station?
"bmic | brethren mutual insurance company , belgian molecular imaging community , battle management interoperability center","Which ""bmic"" do you mean?"
"whatsapp restore | android , iphone",What device are you looking for?
"1965 thunderbird for sale | craigslist , ebay",What marketplace are you looking for?
"nchec | national commission for health education credentialing , neighborworks center for homeownership education and counseling , national center for home equity conversion","Which ""nchec"" do you mean?"
"sulcus terminalis | femur , tibia",What bone are you looking for?
"nintendo 64 emulators for windows | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"twin city motors | business information , shops photo , local map",What do you want to know about this business?
"ttca | tibetan terrier club of america , title transfer collateral arrangement","Which ""ttca"" do you mean?"
"can't receive emails in outlook | 2007 , 2010 , 2013 , 2016",What version of Outlook are you looking for?
"waterfront marine | local map , services , business information",What do you want to know about this business?
"sotw | sax on the web , smoke on the water , story of the world","Which ""sotw"" do you mean?"
"plti | parent leadership training institute , pusat layanan tes indonesia","Which ""plti"" do you mean?"
"icasa | independent communications authority of south africa , institute for complex additive systems analysis , institutional committee of auxiliary services administrators","Which ""icasa"" do you mean?"
"sclo | sudanese commercial law office , second chance last opportunity , survey control liaison officer","Which ""sclo"" do you mean?"
"chicago typewriter | chicago typewriter cast , chicago typewriter episodes , chicago typewriter review",What would you like to know about chicago typewriter?
"print managment | windows 10 , windows 8 , windows vista , server 2012 , server 2012",What version of Windows are you looking for?
"enr | engineering news-record , egyptian national railways , equivalent noise resistance","Which ""enr"" do you mean?"
"reverse sneeze | causes , treatment",What do you want to know about this condition?
"find internet explorer | download , update",What are you trying to do?
"variance in excel | excel 2016 , excel 2007 , excel 2010 , excel 2013",What version of Excel are you looking for?
"mrta | montachusett regional transit authority , marketable record titles act , mass rapid transit author","Which ""mrta"" do you mean?"
"legg calve perthes disease | symptom , diagnosis , symptom , causes , diet",What do you want to know about this medical condition?
"ecrl | east central regional library , east coast rail line , emergent climate risk lab","Which ""ecrl"" do you mean?"
"goodpasture christian school | soccer , baseball , baseball , football , volleyball",Which sport do you want?
"tesla supercar | interior , interior , drivetrain , prices , competition",What do you want to know about this vehicle?
"system using 100% disk | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"eve 6 | eve 6 tour , eve 6 tour , eve 6 singer , eve 6 lyrics , eve 6 lyrics",What would you like to know about this band?
"au clair de la lune | au clair de la lune lyrics , au clair de la lune piano , au clair de la lune meaning",What would you like to know about this song?
"carithers pediatrics | specialty , pediatrics , provider",What do you want to know about carithers pediatrics?
"gij | ghana institute of journalism , global international japan , generations in jazz","Which ""gij"" do you mean?"
"pennant hills high school | notable alumni , physical buildings , sporting",What do you want to know about the school?
